,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,kaitangata,-46.28,169.85,46.00400000000002,90,99,8.00823192555476,NZ,1593006544
100,isangel,-19.55,169.27,74.12000000000006,86,99,8.589835361488905,VU,1593006545
101,toguchin,55.24,84.39,67.262,81,44,5.637079455977094,RU,1593006545
102,aguia branca,-18.98,-40.74,76.72999999999996,43,51,4.250178954903364,BR,1593006545
103,padang,-0.95,100.35,81.73399999999998,55,100,5.435755189692198,ID,1593006545
104,aranos,-24.13,19.12,73.04000000000002,19,0,13.667680744452399,NA,1593006545
105,kamenka,51.32,42.77,69.00799999999998,70,83,11.005726556907659,RU,1593006545
106,nanortalik,60.14,-45.24,43.82600000000002,72,53,5.9502505368647105,GL,1593006545
107,sao filipe,14.9,-24.5,78.02600000000001,78,7,6.755547602004295,CV,1593006545
109,bandar,2.05,99.75,77.84600000000006,86,100,1.789549033643522,ID,1593006545
110,talnakh,69.49,88.4,64.39999999999992,55,92,2.2369362920544025,RU,1593006545
111,katsuura,35.13,140.3,71.00600000000003,90,95,2.9974946313528994,JP,1593006545
112,bandarbeyla,9.49,50.81,92.10200000000003,45,0,24.091803865425913,SO,1593006545
113,hithadhoo,-0.6,73.08,84.03799999999995,77,69,9.820150322118826,MV,1593006546
115,paamiut,61.99,-49.67,40.910000000000025,79,100,1.5211166785969936,GL,1593006546
116,zyryanskoye,56.83,86.63,68.75600000000003,78,48,2.840909090909091,RU,1593006546
117,yellowknife,62.46,-114.35,60.00799999999998,62,75,8.05297065139585,CA,1593006362
118,klaksvik,62.23,-6.59,49.99999999999994,87,75,12.750536864710094,FO,1593006546
119,soavinandriana,-19.17,46.73,65.62399999999997,70,89,1.096098783106657,MG,1593006546
120,palmer,42.16,-72.33,78.00799999999998,83,90,3.3554044380816035,US,1593006546
121,sainte-suzanne,-20.91,55.61,71.59999999999997,78,75,16.1059413027917,RE,1593006546
122,cherskiy,68.75,161.3,44.329999999999984,60,97,7.851646385110952,RU,1593006546
125,souillac,-20.52,57.52,75.19999999999999,69,40,11.40837508947745,MU,1593006485
126,pacific grove,36.62,-121.92,57.19999999999999,87,90,2.706692913385827,US,1593006360
127,pisco,-13.7,-76.22,60.99799999999999,93,90,6.9345025053686475,PE,1593006546
128,severodvinsk,64.56,39.83,62.599999999999966,45,20,6.710808876163207,RU,1593006546
129,voh,-20.97,164.7,65.53399999999993,78,1,1.4763779527559056,NC,1593006547
130,port blair,11.67,92.75,83.012,81,99,9.596456692913385,IN,1593006547
131,tupik,54.43,119.93,52.952000000000055,71,0,2.035612025769506,RU,1593006547
132,yuci,37.68,112.73,66.19999999999999,72,55,6.710808876163207,CN,1593006547
133,grand gaube,-20.01,57.66,73.00399999999996,71,0,5.010737294201862,MU,1593006547
